date,Construction & immobilier,Finance,Industrie,Info-com,Primaires & énergie,Public & services non-marchands,Services,Services pro
2023-01-01 00:00:00,-2.448998798423776,-1.4335856771994198,-1.6545679772204487,-3.68419333689353,-1.1961265436662352,-3.317309464634393,-3.9969623161738586,1.009229322779714
2023-04-01 00:00:00,3.2692855031583252,-0.545581024062821,-0.5897412043051511,-0.8861576314941436,-0.10181637480200761,-0.3181270833639568,-0.5902406762126884,-1.3667506311525102
2023-07-01 00:00:00,0.0783613696161979,-2.62096967146348,-2.181308443773625,-0.5971094070111602,-1.0983982147686655,-0.12450191155903712,-0.7288124193443763,-0.8799080016732967
2023-10-01 00:00:00,0.015658035858872564,-0.24759629654470114,0.06264775727877131,-0.990353063079368,2.104380827578597,1.9053697000653689,-1.3002184079400276,-6.806352101710669
2024-01-01 00:00:00,-2.1724987512529585,-0.07279406987145459,0.34799786727592413,1.2647693571320506,-0.083159511707803,-0.4182744123104048,-0.061120107333145796,0.6577055860048359
2024-04-01 00:00:00,0.12424809307513487,-0.0511421961259656,-0.19192154052139804,-0.3168645772944224,-0.18560277687165308,-0.16383069390388183,-0.013726890847649047,-0.18616613091581682
2024-07-01 00:00:00,0.15487862015834303,0.1948833950999978,0.2291062090301837,-0.35185251774551984,0.244382034659027,0.0018839498958335061,0.08628726985324481,0.06380779722612068
2024-10-01 00:00:00,0.16233042884183552,0.1908847483055311,0.17223001274227778,-0.1298884169239619,-0.008403785061853034,0.06425507677383135,0.12027593093576514,0.00029149665971350304
2025-01-01 00:00:00,0.13516869461950506,0.15032905942573024,0.2398015139481305,-0.16946528315108095,0.10591184826877481,-0.07551325670034698,0.1145824966060843,-0.06980725368844806
2025-04-01 00:00:00,0.17712224395826728,0.10085189212752838,0.1447015175839861,-0.07468563800190016,0.10296353789808613,-0.0006396283498032295,0.17179035500352824,-0.17862053191522398
2025-07-01 00:00:00,0.06188391206164215,0.0612023669208696,0.08348647198807495,-0.09617218373161099,0.034940834995834634,-0.0433794285672259,0.11916961678171535,-0.23876721969883674
2025-10-01 00:00:00,0.04880979891920792,0.10100369815822657,0.11067797716170108,-0.13023408116131913,0.0556849517522343,-0.05777901477872315,0.08489880333430967,-0.28293578309702005
2026-01-01 00:00:00,0.0445012243331239,0.08831830644643608,0.09162529305337247,-0.13451693681225455,-0.018151983251208884,-0.1288755343576689,0.08742025640696209,-0.11380371498488345
2026-04-01 00:00:00,0.09473878094419459,0.0707339495841934,0.060637295640564026,-0.2196377280107641,-0.017529380587291227,-0.1430561798258402,0.038407142315553734,-0.14374595201261786
2026-07-01 00:00:00,0.10711390612944613,0.06168436900502549,0.05889032566819613,-0.23336794480889841,-0.005224188991345864,-0.1403872603902663,0.01767071704136687,-0.16442724016232618
2026-10-01 00:00:00,0.10192816018602185,0.0338095530076262,0.033321433427073416,-0.23782500345299917,-0.016451126338944792,-0.14351518096451146,-0.0050638992855942585,-0.1897327164730368
2027-01-01 00:00:00,0.09575086872117515,0.013907688550089375,0.015516646821388664,-0.2519440215484508,-0.010912834391937569,-0.13978384799388072,-0.03295426062260749,-0.2504681415140745
2027-04-01 00:00:00,0.0765401440660234,-0.005853746840718857,-0.005515204829976753,-0.259387050054515,-0.026907246969906054,-0.1414992179022584,-0.06061125988907176,-0.2792423337316315
2027-07-01 00:00:00,0.07252175324506929,-0.02087041114512944,-0.026091635006650155,-0.2709812575487358,-0.04295971254141112,-0.1475587575607192,-0.08190344333804898,-0.305094998663332
2027-10-01 00:00:00,0.06767093794543491,-0.036600600716439835,-0.04204219227224345,-0.28288734484793576,-0.05352783750637241,-0.15081959011197293,-0.1003795298231718,-0.32611666383740884
2028-01-01 00:00:00,0.06359537326481074,-0.047206082360351606,-0.053315209849424144,-0.29198696140259006,-0.06006987028452193,-0.1512513142764108,-0.11569118882574175,-0.3463552002535935
2028-04-01 00:00:00,-0.00957960220576301,-0.08477071142518491,-0.10091132818480535,-0.3936397636255417,-0.09428739036694933,-0.2388757348835746,-0.2252618565674201,-0.3088407141287548
2028-07-01 00:00:00,0.07563904750910015,-0.09836691810729269,-0.12567154791833873,-0.4126336544747223,-0.09826486708914023,-0.2492241618686451,-0.24666673293318794,-0.34427056449153076
2028-10-01 00:00:00,0.07365150540894305,-0.17767220268262393,-0.19739397056601318,-0.42448441808117965,-0.13594996866164227,-0.25678371396265115,-0.2762277241608961,-0.3679667077075926
2029-01-01 00:00:00,0.07012589490823654,-0.1959481097634254,-0.20918535475199995,-0.451601271886324,-0.08719921311191799,-0.20692080560823958,-0.32380746656134285,-0.5638804291719945
2029-04-01 00:00:00,0.12569468909301315,-0.1566649722352229,-0.14025467754537835,-0.25752086093433324,-0.03721081683637861,-0.055049270758525316,-0.1677137496771835,-0.656285643068017
