date,Construction & immobilier,Finance,Industrie,Info-com,Primaires & énergie,Public & services non-marchands,Services,Services pro
2023-01-01 00:00:00,-2.405767325264198,-1.4151843650649352,-1.6302132383736685,-3.6277396832788886,-1.1771493789047025,-3.262147768614999,-3.9359957255085805,0.9764128413022042
2023-04-01 00:00:00,3.222009985606456,-0.5370230136345739,-0.5767047610451294,-0.880340843635674,-0.09826117928504868,-0.30228040979555226,-0.572150751520111,-1.3586921478433962
2023-07-01 00:00:00,0.07575836797343964,-2.5683082901722925,-2.1363581294241705,-0.5960089432759869,-1.0732125096261584,-0.10971760452728596,-0.7038025257782323,-0.8758784517386513
2023-10-01 00:00:00,0.014421186371053463,-0.2303679918129696,0.07913175740894475,-0.9866733697898968,2.0825404112898784,1.8843730167072559,-1.2607680386991826,-6.692425495911416
2024-01-01 00:00:00,-2.1394407492706247,-0.044739122575650436,0.3794209893842469,1.2330617256088572,-0.05956364149006749,-0.31605344760034587,0.028628568532533052,0.5748198968124598
2024-04-01 00:00:00,0.12468232646985873,-0.03150047912734852,-0.1631985003128949,-0.394579692000927,-0.17801000922813406,-0.170037027328653,-0.0027651125497100554,-0.14270719589317982
2024-07-01 00:00:00,0.16339648970813112,0.2391459060575322,0.23120280342085042,-0.43636641143672306,0.23828362458765784,-0.011802062679016762,0.08885365211051052,0.08217764768275945
2024-10-01 00:00:00,0.17034037801975335,0.22852193676748622,0.15901270844298246,-0.20632783713513725,-0.028213688485501834,0.046684904642111974,0.11373976199244501,0.014913005294420835
2025-01-01 00:00:00,0.14070902355065396,0.18052212139381996,0.21097729306847238,-0.24758366712421737,0.07314547435452642,-0.08589467248145956,0.09570726978385562,-0.09628682650313794
2025-04-01 00:00:00,0.1704062739408307,0.13148569295200488,0.12234239573764179,-0.10354727536893951,0.06545420628555511,-0.016551205279267497,0.14952890009617112,-0.18819402723210849
2025-07-01 00:00:00,0.06139633232000691,0.06559172326310778,0.06047864763580383,-0.12659188824857273,-0.010656897622153345,-0.057222979292560684,0.09740729960742253,-0.24776751527829433
2025-10-01 00:00:00,0.04877599994852551,0.10482635910457984,0.08362955314844794,-0.16140918840328983,0.0010587932950321365,-0.07115986882235179,0.06372246341945254,-0.29217336642232916
2026-01-01 00:00:00,0.045145160103861444,0.0937750703389574,0.06836867099733603,-0.16413012438680813,-0.06959080255701572,-0.13641760041014123,0.06657941072654223,-0.13033182149195444
2026-04-01 00:00:00,0.09030659259717908,0.07680608084475296,0.03999006519284491,-0.24083510869006192,-0.06461356040285057,-0.15266819833607673,0.01805025913314405,-0.15621495841213195
2026-07-01 00:00:00,0.10597297997845613,0.06489678837509817,0.04086933119047417,-0.2544583309259942,-0.04686830922283619,-0.14797817158653864,0.0004728194314878257,-0.17500559960253745
2026-10-01 00:00:00,0.10136026149374812,0.037874735951419054,0.016995137109718873,-0.25748179993109394,-0.05422147601751831,-0.14923471455340545,-0.019197729241527108,-0.19809626611298786
2027-01-01 00:00:00,0.0956657515550265,0.01995226977765514,0.00369216366023308,-0.270421914009549,-0.04040610287052207,-0.14189693067608122,-0.04420126267198892,-0.26171982633688323
2027-04-01 00:00:00,0.07396808307633457,0.0020388306593680534,-0.013127272964087099,-0.2769041705684028,-0.046974988545459256,-0.14320377743865914,-0.0693048512853318,-0.28666916233183737
2027-07-01 00:00:00,0.07203547702692524,-0.010509134751424138,-0.029663041594316184,-0.2871852754034819,-0.054446220529609624,-0.14731650385164163,-0.0863225447814067,-0.31000088502350126
2027-10-01 00:00:00,0.06781456036709091,-0.025100655512045704,-0.04231623810209077,-0.297944980724383,-0.05794776404258883,-0.14857560506544515,-0.10062592555144771,-0.3282920650557083
2028-01-01 00:00:00,0.06435276822603592,-0.0333367585438462,-0.0498599008491549,-0.30590899242360053,-0.057762694122520705,-0.14611896722947498,-0.11221626001673332,-0.34896487299577983
2028-04-01 00:00:00,-0.009282655166538496,-0.0686531048707682,-0.09386698081201683,-0.40722463969309125,-0.08744319546794557,-0.23244178648019836,-0.2177397624003985,-0.3085174747722184
2028-07-01 00:00:00,0.0765781670271262,-0.078660608006327,-0.11561763591254144,-0.4246353628959486,-0.08753771867763417,-0.24117574573550218,-0.23513954962851924,-0.3416356436560507
2028-10-01 00:00:00,0.07523497712973443,-0.15518326839456806,-0.18407004391791984,-0.43446447141993344,-0.12141916715974901,-0.24695751642063116,-0.2606152579122324,-0.36274754982775853
2029-01-01 00:00:00,0.07238880970503508,-0.17091374682867147,-0.19250573668467474,-0.45958778443438214,-0.06909552717702842,-0.19520652225563148,-0.30401355443755573,-0.5561154760794602
2029-04-01 00:00:00,0.1281440284744086,-0.12914958025423284,-0.12049443025872338,-0.26260175181737533,-0.015743894751162255,-0.04249902692420758,-0.14417164182473463,-0.6446081950549611
2029-07-01 00:00:00,-0.025350648336740188,-0.12076257114089514,-0.0957773492858661,-0.24265205147852925,-0.012176306350830082,-0.02568849178132339,-0.12573184648586047,-0.6076789920983436
2029-10-01 00:00:00,-0.02562692398682291,0.007453690087599187,0.02753360740290583,-0.23704250383652825,0.06625660156465552,-0.006579357233702209,-0.08413330798167262,-0.5781779447096845
2030-01-01 00:00:00,-0.02200189994233283,0.03858403859961716,0.049882657234075006,-0.19319463441661824,-0.009307380345946992,-0.08445889504212323,-0.004594552850238515,-0.2441530817658248
2030-04-01 00:00:00,0.008767479157932564,0.027306126245912395,0.01235849712888179,-0.3509466088292496,-0.02429340131304542,-0.17525689331042377,-0.09279518449739112,-0.1858128321378088
2030-07-01 00:00:00,0.11056457760258245,0.031129857911900198,0.017672438702233225,-0.349531551329127,-0.004127364816982219,-0.17653175797215803,-0.08914459355087909,-0.19777953371597418
2030-10-01 00:00:00,0.11034642374831004,-0.04606787909759435,-0.05697525557283602,-0.3344304086497991,-0.0485494296305537,-0.18722200578071352,-0.10489732820980205,-0.21276021394025812
2031-01-01 00:00:00,0.10735608564256607,-0.06466750838676746,-0.07008854089097305,-0.35445926374049286,0.005707207226215604,-0.138029536302463,-0.15007373982339806,-0.43095673286215025
2031-04-01 00:00:00,-0.07790093004906104,-0.12616763626332106,-0.14082908009864176,-0.3947908402321702,-0.06654022231394686,-0.3051294116275852,-0.3259103724053908,-0.3170679391509023
2031-07-01 00:00:00,0.06641969903702777,-0.1899075463303821,-0.19097239458750628,-0.42968288303272856,-0.09311375897314109,-0.3300767110019142,-0.3559453125943076,-0.3682128759911368
2031-10-01 00:00:00,0.06724201284105887,-0.3057269545999247,-0.30309898127569307,-0.4503081766519765,-0.15647493334772924,-0.3446706413025835,-0.3982690788911995,-0.392645446722803
2032-01-01 00:00:00,0.06653566273718123,-0.3265886844318909,-0.3184605816022718,-0.4894872902857648,-0.08759029354687636,-0.26049509234972257,-0.4700960256577727,-0.6975296683918023
2032-04-01 00:00:00,0.05843998137239849,-0.2972083560071303,-0.25796206066639743,-0.2812874928055119,-0.06068401993042662,-0.13132823501329735,-0.3468670605754643,-0.7711039542635517
2032-07-01 00:00:00,-0.05874826871185493,-0.31393428734366385,-0.24839567438342797,-0.27387956278083064,-0.0750138311024824,-0.12267939042242403,-0.3397272961331088,-0.7399124276969294
