date,US_Central_bank_Intervention_rate_policy_interest_rate,US_Effective_exchange_rate,US_Equity_prices,US_GDP_Growth_Rate,US_House_prices_residential,US_Inflation_rate,US_Long_term_interest_rate,US_Oil_price,US_Unemployment_rate
2022-01-01,1.895833333333333,110.2334349016165,157.7387740598674,0.32844027525,136.802636861952,8.007718333333333,2.951666666666668,98.9963275770123,3.6416665
2022-04-01,2.748228146649518,110.3494501829449,158.078874238697,0.32844027525,138.7940040686637,7.244745915409143,3.2035691679709,95.14149521456363,3.631244164210989
2022-07-01,3.600622959965703,110.4654654642733,158.4189744175267,0.32844027525,140.7853712753754,6.481773497484953,3.455471669275133,91.28666285211496,3.620821828421977
2022-10-01,4.453017773281888,110.5814807456017,158.7590745963563,0.32844027525,142.7767384820872,5.718801079560763,3.707374170579366,87.43183048966628,3.610399492632966
2023-01-01,5.305412586598073,110.6974960269301,159.099174775186,1.545744203750821,144.7681056887989,4.955828661636573,3.959276671883599,83.57699812721762,3.599977156843954
2023-04-01,5.298978934013447,110.8043191438535,163.9444445553941,1.545744203750821,145.6980494678879,4.533248832612353,3.930216540488948,82.85076931021388,3.644600933949676
2023-07-01,5.29254528142882,110.911142260777,168.7897143356022,1.545744203750821,146.6279932469769,4.110669003588133,3.901156409094297,82.12454049321013,3.689224711055398
2023-10-01,5.286111628844194,111.0179653777004,173.6349841158104,1.545744203750821,147.5579370260659,3.688089174563912,3.872096277699645,81.39831167620639,3.73384848816112
2024-01-01,5.279677976259569,111.1247884946239,178.4802538960186,1.748642455369676,148.4878808051548,3.265509345539692,3.843036146304994,80.67208285920265,3.778472265266842
2024-04-01,4.98607885092523,111.0324526938882,183.9712579351327,1.748642455369676,149.1957521016728,3.099735501519767,3.771822531588817,80.27197494010157,3.786141431327488
2024-07-01,4.692479725590891,110.9401168931524,189.4622619742469,1.748642455369676,149.9036233981908,2.933961657499842,3.70060891687264,79.8718670210005,3.793810597388135
2024-10-01,4.398880600256551,110.8477810924167,194.9532660133611,1.748642455369676,150.6114946947088,2.768187813479917,3.629395302156463,79.47175910189944,3.801479763448781
2025-01-01,4.105281474922212,110.7554452916809,200.4442700524752,1.631103841882608,151.3193659912267,2.602413969459992,3.558181687440286,79.07165118279836,3.809148929509428
2025-04-01,3.920186404271703,110.7123883710602,202.1031293060553,1.631103841882608,152.3896517062172,2.57706664958871,3.524448942955376,78.8428589787723,3.833718322056497
2025-07-01,3.735091333621194,110.6693314504394,203.7619885596354,1.631103841882608,153.4599374212076,2.551719329717429,3.490716198470466,78.61406677474625,3.858287714603567
2025-10-01,3.549996262970684,110.6262745298187,205.4208478132154,1.631103841882608,154.5302231361981,2.526372009846147,3.456983453985556,78.38527457072018,3.882857107150637
2026-01-01,3.364901192320175,110.583217609198,207.0797070667955,1.600188369263411,155.6005088511885,2.501024689974865,3.423250709500647,78.15648236669412,3.907426499697707
2026-04-01,3.353412526990486,110.6001600769699,208.6263263098577,1.600188369263411,156.5901723334,2.544112537675444,3.408258340557169,78.40779052249877,3.943959866256037
2026-07-01,3.341923861660797,110.6171025447418,210.1729455529198,1.600188369263411,157.5798358156114,2.587200385376024,3.393265971613692,78.65909867830341,3.980493232814368
2026-10-01,3.330435196331107,110.6340450125137,211.719564795982,1.600188369263411,158.5694992978229,2.630288233076603,3.378273602670214,78.91040683410804,4.017026599372698
2027-01-01,3.318946531001418,110.6509874802856,213.2661840390442,1.626459462482988,159.5591627800344,2.673376080777182,3.363281233726737,79.1617149899127,4.053559965931028
2027-04-01,3.318946531001418,110.6747592092353,214.4145759735916,1.626459462482988,160.5368265680262,2.65459311117515,3.353286335991302,79.41625511446216,4.082429490730585
2027-07-01,3.318946531001418,110.698530938185,215.5629679081391,1.626459462482988,161.5144903560181,2.635810141573118,3.343291438255868,79.67079523901162,4.111299015530141
2027-10-01,3.318946531001418,110.7223026671346,216.7113598426865,1.626459462482988,162.49215414401,2.617027171971086,3.333296540520433,79.92533536356108,4.140168540329698
2028-01-01,3.318946531001418,110.7460743960843,217.859751777234,1.638029570843336,163.4698179320018,2.598244202369054,3.323301642784998,80.17987548811054,4.169038065129255
2028-04-01,3.318946531001418,110.7749197846679,220.7649241444644,1.638029570843336,164.1066549245963,2.541287398713958,3.317054841008821,80.43769032460433,4.199404075691602
2028-07-01,3.318946531001418,110.8037651732515,223.6700965116947,1.638029570843336,164.7434919171909,2.484330595058863,3.310808039232643,80.69550516109811,4.229770086253947
2028-10-01,3.318946531001418,110.8326105618351,226.575268878925,1.638029570843336,165.3803289097855,2.427373791403767,3.304561237456466,80.9533199975919,4.260136096816293
2029-01-01,3.318946531001418,110.8614559504187,229.4804412461554,1.638088339467059,166.01716590238,2.370416987748671,3.298314435680288,81.2111348340857,4.290502107378639
2029-04-01,3.318946531001418,110.8967827470006,228.6446297124026,1.638088339467059,167.2497663830041,2.39272388616879,3.293941674436963,81.47226421141427,4.298838685089729
2029-07-01,3.318946531001418,110.9321095435824,227.8088181786497,1.638088339467059,168.4823668636282,2.41503078458891,3.289568913193639,81.73339358874284,4.307175262800818
