date,US_Central_bank_Intervention_rate_policy_interest_rate,US_Effective_exchange_rate,US_Equity_prices,US_GDP_Growth_Rate,US_House_prices_residential,US_Inflation_rate,US_Long_term_interest_rate,US_Oil_price,US_Unemployment_rate
2022-01-01,1.895833333333333,110.2334349016165,157.7387740598674,0.32844027525,136.802636861952,8.007718333333333,2.951666666666668,98.9963275770123,3.6416665
2022-04-01,2.931429487778363,110.006349235262,155.6997285803114,0.32844027525,138.7313792653356,7.472147181530729,3.287559512629451,95.8574637208121,3.638299964746909
2022-07-01,3.967025642223393,109.7792635689075,153.6606831007554,0.32844027525,140.6601216687192,6.936576029728124,3.623452358592234,92.71859986461192,3.634933429493819
2022-10-01,5.002621796668423,109.5521779025529,151.6216376211994,0.32844027525,142.5888640721028,6.40100487792552,3.959345204555017,89.57973600841174,3.631566894240728
2023-01-01,6.038217951113453,109.3250922361984,149.5825921416433,1.514835103769441,144.5176064754863,5.865433726122916,4.2952380505178,86.44087215221155,3.628200358987638
2023-04-01,5.948597002915197,109.3332470870476,154.0523263500336,1.514835103769441,145.3695264772289,5.339851700233634,4.263101045686002,85.97860833524936,3.735953253104387
2023-07-01,5.858976054716941,109.3414019378967,158.5220605584238,1.514835103769441,146.2214464789715,4.814269674344352,4.230964040854206,85.51634451828718,3.843706147221136
2023-10-01,5.769355106518685,109.3495567887458,162.991794766814,1.514835103769441,147.0733664807141,4.28868764845507,4.198827036022408,85.05408070132499,3.951459041337885
2024-01-01,5.679734158320429,109.357711639595,167.4615289752042,1.397126181477826,147.9252864824567,3.763105622565788,4.16669003119061,84.5918168843628,4.059211935454633
2024-04-01,5.356754484300395,109.210002321201,172.3508483693594,1.397126181477826,148.6111663647108,3.535635090843508,4.100712646186335,84.41098546449675,4.075905376764396
2024-07-01,5.03377481028036,109.062293002807,177.2401677635146,1.397126181477826,149.2970462469648,3.308164559121228,4.03473526118206,84.23015404463068,4.09259881807416
2024-10-01,4.710795136260326,108.914583684413,182.1294871576698,1.397126181477826,149.9829261292189,3.080694027398948,3.968757876177786,84.04932262476461,4.109292259383924
2025-01-01,4.387815462240291,108.766874366019,187.018806551825,1.502068345449503,150.6688060114729,2.853223495676668,3.902780491173512,83.86849120489856,4.125985700693687
2025-04-01,4.20335072172692,108.671491967202,188.1808561473883,1.502068345449503,151.7323176646579,2.825414055907546,3.876789980057041,85.70493965748256,4.147795171464765
2025-07-01,4.01888598121355,108.5761095683849,189.3429057429518,1.502068345449503,152.7958293178428,2.797604616138424,3.850799468940571,87.54138811006653,4.169604642235844
2025-10-01,3.83442124070018,108.4807271695679,190.5049553385152,1.502068345449503,153.8593409710278,2.769795176369303,3.824808957824101,89.37783656265051,4.191414113006922
2026-01-01,3.64995650018681,108.3853447707508,191.6670049340786,1.499038432509736,154.9228526242127,2.741985736600181,3.798818446707631,91.21428501523451,4.213223583778
2026-04-01,3.639037782830574,108.34937223567,192.7105898417074,1.499038432509736,155.9176505056827,2.781097405919355,3.791523958139986,94.53963939377233,4.243145119240401
2026-07-01,3.628119065474338,108.3133997005893,193.7541747493362,1.499038432509736,156.9124483871526,2.820209075238528,3.78422946957234,97.86499377231016,4.273066654702802
2026-10-01,3.617200348118103,108.2774271655085,194.797759656965,1.499038432509736,157.9072462686226,2.859320744557702,3.776934981004695,101.190348150848,4.302988190165203
2027-01-01,3.606281630761867,108.2414546304278,195.8413445645938,1.519626679383701,158.9020441500926,2.898432413876876,3.769640492437049,104.5157025293858,4.332909725627603
2027-04-01,3.605115058924602,108.2164668567307,196.5534342994331,1.519626679383701,159.8910808267348,2.873017584874594,3.76761566960159,107.7426091193689,4.357005195818557
2027-07-01,3.603948487087337,108.1914790830335,197.2655240342725,1.519626679383701,160.880117503377,2.847602755872312,3.765590846766131,110.969515709352,4.381100666009512
2027-10-01,3.602781915250071,108.1664913093364,197.9776137691119,1.519626679383701,161.8691541800193,2.822187926870031,3.763566023930672,114.1964222993351,4.405196136200466
2028-01-01,3.601615343412806,108.1415035356393,198.6897035039513,1.536412581267577,162.8581908566615,2.796773097867749,3.761541201095212,117.4233288893182,4.42929160639142
2028-04-01,3.600608583441222,108.1282692596339,201.2357854732124,1.536412581267577,163.508089396037,2.733277141466758,3.763925732956011,120.5944065464041,4.452429832543932
2028-07-01,3.599601823469637,108.1150349836285,203.7818674424735,1.536412581267577,164.1579879354125,2.669781185065767,3.766310264816811,123.7654842034901,4.475568058696444
2028-10-01,3.598595063498053,108.1018007076231,206.3279494117346,1.536412581267577,164.807886474788,2.606285228664775,3.76869479667761,126.936561860576,4.498706284848955
2029-01-01,3.597588303526468,108.0885664316178,208.8740313809957,1.539048724228165,165.4577850141635,2.542789272263784,3.771079328538409,130.1076395176619,4.521844511001468
2029-04-01,3.599371738208821,108.0902480422919,207.6009869407707,1.539048724228165,166.7021165580489,2.560951536743084,3.77597019171385,133.2446858164466,4.527442910314607
2029-07-01,3.601155172891173,108.091929652966,206.3279425005458,1.539048724228165,167.9464481019344,2.579113801222384,3.780861054889292,136.3817321152312,4.533041309627745
2029-10-01,3.602938607573525,108.0936112636401,205.0548980603209,1.539048724228165,169.1907796458198,2.597276065701683,3.785751918064734,139.5187784140158,4.538639708940884
2030-01-01,3.604722042255878,108.0952928743143,203.7818536200959,1.589638884512223,170.4351111897053,2.615438330180983,3.790642781240175,142.6558247128004,4.544238108254023
2030-04-01,3.616313637261768,108.1113911735278,204.3029849035111,1.589638884512223,171.3427476174914,2.604793424928114,3.796529993139415,146.499526357522,4.551025671056469
2030-07-01,3.627905232267659,108.1274894727413,204.8241161869263,1.589638884512223,172.2503840452775,2.594148519675246,3.802417205038655,150.3432280022436,4.557813233858916
2030-10-01,3.639496827273549,108.1435877719548,205.3452474703415,1.589638884512223,173.1580204730637,2.583503614422377,3.808304416937895,154.1869296469652,4.564600796661363
2031-01-01,3.65108842227944,108.1596860711684,205.8663787537567,1.628727827742527,174.0656569008498,2.572858709169508,3.814191628837135,158.0306312916867,4.57138835946381
2031-04-01,3.667402517263588,108.1880375466739,208.7073496322426,1.628727827742527,174.4795470931319,2.544078566999799,3.819513079443497,162.1980446721567,4.584033397944284
2031-07-01,3.683716612247736,108.2163890221795,211.5483205107285,1.628727827742527,174.8934372854139,2.515298424830089,3.824834530049859,166.3654580526267,4.596678436424757
2031-10-01,3.700030707231884,108.2447404976851,214.3892913892144,1.628727827742527,175.307327477696,2.486518282660379,3.830155980656222,170.5328714330967,4.609323474905231
2032-01-01,3.716344802216032,108.2730919731907,217.2302622677003,1.607523178300352,175.7212176699781,2.45773814049067,3.835477431262583,174.7002848135667,4.621968513385704
2032-04-01,3.732282893449551,108.3134304500416,215.3764210989254,1.607523178300352,177.1010988748401,2.495529505566987,3.840917970696646,178.7665988699578,4.610060042990618
2032-07-01,3.74822098468307,108.3537689268926,213.5225799301506,1.607523178300352,178.4809800797022,2.533320870643304,3.846358510130709,182.8329129263489,4.598151572595532
2032-10-01,3.764159075916589,108.3941074037436,211.6687387613757,1.607523178300352,179.8608612845642,2.571112235719621,3.851799049564771,186.89922698274,4.586243102200447
2033-01-01,3.780097167150108,108.4344458805945,209.8148975926009,1.541120011503572,181.2407424894262,2.608903600795938,3.857239588998834,190.9655410391311,4.57433463180536
2033-04-01,3.795995997803408,108.4860295282535,210.3707449294324,1.541120011503572,182.1515822146767,2.61765050720027,3.862678847587576,194.9767707685892,4.571953270867019
2033-07-01,3.811894828456708,108.5376131759124,210.926592266264,1.541120011503572,183.0624219399271,2.626397413604602,3.868118106176317,198.9880004980473,4.569571909928678
2033-10-01,3.827793659110008,108.5891968235714,211.4824396030956,1.541120011503572,183.9732616651775,2.635144320008934,3.87355736476506,202.9992302275054,4.567190548990337
