sector,rating,next_rating,barrier
industrie,A,D,-inf
industrie,BBB,D,-inf
industrie,BB,D,-inf
industrie,B,D,-inf
industrie,C,D,-inf
info-com,AAA,AAA,inf
info-com,A,AAA,inf
info-com,BBB,AAA,8.209536151601387
info-com,BB,AAA,inf
info-com,B,AAA,inf
info-com,C,AAA,inf
info-com,AAA,A,-0.8416212335729142
info-com,A,A,inf
info-com,BBB,A,8.209536151601387
info-com,BB,A,inf
info-com,B,A,inf
info-com,C,A,inf
info-com,AAA,BBB,-inf
info-com,A,BBB,-0.43072729929545756
info-com,BBB,BBB,2.222796752209741
info-com,BB,BBB,inf
info-com,B,BBB,2.9796262355232037
info-com,C,BBB,inf
info-com,AAA,BB,-inf
info-com,A,BB,-1.6325479658463486
info-com,BBB,BB,-1.2187191167289835
info-com,BB,BB,2.1482270720472236
info-com,B,BB,2.3799280793094204
info-com,C,BB,inf
info-com,AAA,B,-inf
info-com,A,B,-inf
info-com,BBB,B,-inf
info-com,BB,B,-1.3995497935637218
info-com,B,B,1.4812944059618491
info-com,C,B,inf
info-com,AAA,C,-inf
info-com,A,C,-inf
info-com,BBB,C,-inf
info-com,BB,C,-2.235926641317926
info-com,B,C,-1.7628720150628823
info-com,C,C,0.7582925569911514
info-com,AAA,D,-inf
info-com,A,D,-inf
info-com,BBB,D,-inf
info-com,BB,D,-2.7297028177674068
info-com,B,D,-2.9796262355231855
info-com,C,D,-2.11438077152756
public,AAA,AAA,inf
public,A,AAA,inf
public,BBB,AAA,inf
public,BB,AAA,inf
public,B,AAA,inf
public,C,AAA,inf
public,AAA,A,-0.7542414951202904
public,A,A,1.616403662001192
public,BBB,A,inf
public,BB,A,inf
public,B,A,inf
public,C,A,inf
public,AAA,BBB,-inf
public,A,BBB,-1.2480462120701779
public,BBB,BBB,1.6735533389792139
public,BB,BBB,2.458249716079628
public,B,BBB,2.966505657662193
public,C,BBB,inf
public,AAA,BB,-inf
public,A,BB,-inf
public,BBB,BB,-1.555133210620978
public,BB,BB,1.490375029318888
public,B,BB,2.966505657662193
public,C,BB,inf
public,AAA,B,-inf
public,A,B,-inf
public,BBB,B,-2.2307765883069437
public,BB,B,-1.3469061170014545
public,B,B,1.9497592613505121
public,C,B,inf
public,AAA,C,-inf
public,A,C,-inf
public,BBB,C,-2.6289335148065716
public,BB,C,-2.45824971607963
public,B,C,-1.437406898987521
public,C,C,1.0004905456193158
public,AAA,D,-inf
public,A,D,-inf
public,BBB,D,-inf
public,BB,D,-inf
public,B,D,-2.9665056576621964
public,C,D,-1.6567947658159812
services,AAA,AAA,inf
services,A,AAA,inf
services,BBB,AAA,inf
services,BB,AAA,inf
services,B,AAA,inf
services,C,AAA,inf
services,AAA,A,-1.9145058250555573
services,A,A,inf
services,BBB,A,inf
services,BB,A,inf
services,B,A,inf
services,C,A,inf
services,AAA,BBB,-1.9145058250555573
services,A,BBB,-0.7527287942581697
services,BBB,BBB,1.7026015528863852
services,BB,BBB,inf
services,B,BBB,inf
services,C,BBB,inf
services,AAA,BB,-1.9145058250555573
services,A,BB,-1.5179291595942785
services,BBB,BB,-1.0623239558626671
services,BB,BB,1.6063253501130337
services,B,BB,2.7809472578191325
services,C,BB,inf
services,AAA,B,-1.9145058250555573
services,A,B,-2.4059826146307435
services,BBB,B,-2.3949970583813696
services,BB,B,-1.4031957848085512
services,B,B,1.5354992278159068
services,C,B,2.3300789227879104
services,AAA,C,-1.9145058250555573
services,A,C,-inf
services,BBB,C,-2.773823881198399
services,BB,C,-2.001159368061511
services,B,C,-1.138905557423346
services,C,C,0.5045692868981859
services,AAA,D,-inf
services,A,D,-inf
services,BBB,D,-inf
services,BB,D,-inf
services,B,D,-2.403023047321939
services,C,D,-1.649672679353478
services_pro,AAA,AAA,inf
services_pro,A,AAA,8.209536151601387
services_pro,BBB,AAA,inf
services_pro,BB,AAA,inf
services_pro,B,AAA,8.209536151601387
services_pro,C,AAA,
services_pro,AAA,A,inf
services_pro,A,A,2.3225745319461906
services_pro,BBB,A,inf
services_pro,BB,A,inf
services_pro,B,A,8.209536151601387
services_pro,C,A,
services_pro,AAA,BBB,-inf
services_pro,A,BBB,-1.0299567622253682
services_pro,BBB,BBB,1.5892675570513932
services_pro,BB,BBB,inf
services_pro,B,BBB,8.209536151601387
services_pro,C,BBB,
services_pro,AAA,BB,-inf
services_pro,A,BB,-inf
services_pro,BBB,BB,-1.8521798587690466
services_pro,BB,BB,inf
services_pro,B,BB,1.8186455928500598
services_pro,C,BB,
services_pro,AAA,B,-inf
services_pro,A,B,-inf
services_pro,BBB,B,-inf
services_pro,BB,B,-0.8416212335729142
services_pro,B,B,0.9446695913944757
services_pro,C,B,
services_pro,AAA,C,-inf
services_pro,A,C,-inf
services_pro,BBB,C,-inf
services_pro,BB,C,-inf
services_pro,B,C,-1.8186455928500607
services_pro,C,C,
services_pro,AAA,D,-inf
services_pro,A,D,-inf
services_pro,BBB,D,-inf
services_pro,BB,D,-inf
services_pro,B,D,-inf
services_pro,C,D,
