,const,ZL1,ZstarL0,ZstarL1,X_L0_US_Central_bank_Intervention_rate_policy_interest_rate,X_L0_US_Effective_exchange_rate,X_L0_US_Equity_prices,X_L0_US_GDP_Growth_Rate,X_L0_US_House_prices_residential,X_L0_US_Inflation_rate,X_L0_US_Long_term_interest_rate,X_L0_US_Oil_price,X_L0_US_Unemployment_rate,X_L1_US_Central_bank_Intervention_rate_policy_interest_rate,X_L1_US_Effective_exchange_rate,X_L1_US_Equity_prices,X_L1_US_GDP_Growth_Rate,X_L1_US_House_prices_residential,X_L1_US_Inflation_rate,X_L1_US_Long_term_interest_rate,X_L1_US_Oil_price,X_L1_US_Unemployment_rate
Construction & immobilier,-1.7000653857396155,0.049460287006797055,-0.4046058286725262,0.4419572878519461,-0.8337701724087436,-0.046849918537478115,0.02363605765519536,-0.006297590767825115,-0.018781375649137108,0.5143538625126156,0.5474488049490218,-0.040888902394373476,0.17959426444026078,0.6421805896177712,0.10468794437931017,0.018195422821752263,0.045847530660913044,-0.08353961128209486,-0.05509959019273261,0.5725383734706117,0.014358294395932844,0.1756662733199298
Finance,9.847867576064585,0.19346338315322875,0.6303480061653176,0.10573104578819784,1.7774163723616345,0.016945011476316742,0.0019927930229178235,-0.02822491569591205,-0.10769937741349722,-0.10581212223496365,0.367643721694772,-0.02000422793126462,0.2236497030378453,-1.235679351988179,-0.03794800681968697,0.06077092813462796,0.008193057611277416,-0.015806901156663715,-0.016225241663219828,-1.0835161745792006,0.014437977548604056,-0.02129769321180966
Industrie,-0.7570510932856385,0.6024747992376267,0.7432098229912794,-0.06251492196275613,-0.8727122125033825,0.016397297208723207,0.005463730747493121,-0.0745666317711754,-0.2808017225431123,-0.07363771289293661,0.3331856114959157,-0.018688770972278917,-0.08409754094260441,0.7113211692714803,-0.012763392175501646,-0.01022787200784333,-0.0021392968491882863,0.30136162545638806,0.03844900505327126,-0.5228086189752438,0.013918979709052554,0.10020614347916938
Info-com,3.3208530030884837,0.18236527867795788,0.03787156262818442,0.4433032608985054,0.655738565206248,-0.058459566377625144,-0.008441600389577912,0.3301394905986417,-0.15376842979953034,-0.018115504011735062,0.2186696297393501,-0.028598141422352535,0.7009676962915878,-0.6758023342063639,0.06261101484399642,0.051696707155949144,0.06343728023522929,0.07337618953171873,-0.10156963423774545,-0.3672423541361217,0.025014940316440644,-0.409530617820483
Primaires & énergie,3.3028397257249584,0.4356064000441288,0.5937509282562188,0.46054387272172936,0.035797993570875625,0.020129742014020836,-0.01564836023610408,0.11345594549290271,-0.37227485847408437,0.31598794400026164,-0.6975347647200858,-0.018319868112345924,0.1270883819461848,0.6064898115553846,-0.03806891956212614,-0.003367169743483128,0.1173631198928241,0.39754034031291513,-0.12334122657736969,-0.23434598027629433,0.00031114029596401665,-0.06287061315805867
Public & services non-marchands,6.670263134050014,0.21300109429788805,0.3468269916884884,0.0035582906731753683,1.5082274598687668,-0.08022839854471754,-0.007523292654036298,-0.19112593388456608,0.2388256720127637,0.3292144026608472,-0.518965874492441,-0.007983218968030753,-0.11009965959883027,-1.1491949098593872,0.009740859457093229,-0.019532642178499423,-0.09281086797324212,-0.20418176238656965,-0.4361629505394397,-0.19149774442275427,0.010852456020778268,0.07217497471203105
Services,6.10041748513291,0.2597932603168439,0.8446672664589246,0.0108436128877345,0.8063645723469555,0.007130129038656917,0.0009520905951886285,0.051693403757980205,-0.08148489000170213,-0.10191813470295014,-0.08064593168889794,-0.01013695677002414,0.04173190706254143,-0.5038544363864371,-0.01522070677885267,0.033309692264686885,0.002684866884638294,0.011165516461934033,0.13613139400051066,-0.5453824185450444,0.006023826321591757,0.009349699920450413
Services pro,-10.848416090285994,0.32970112917742894,1.5179551850281845,-0.3161402799341544,-0.38632087539938664,0.0346508258645208,-0.01719394409143527,-0.18734084317148747,0.17876627738538184,-0.3849331945628416,0.47660727745802256,0.03478764722203277,-0.08672349974334544,0.46497869089175975,0.010904090437128977,-0.0010563053522296283,-0.09022295531055592,-0.11798258835951726,0.22364452691599618,-0.12364851500197171,-0.01281238812480352,0.0086758689751959
