,Construction & immobilier,Finance,Industrie,Info-com,Primaires & énergie,Public & services non-marchands,Services,Services pro
2010-10-01,-1.857289542784773,0.8817897880397771,0.3731890966542061,0.13831523525137301,-0.43093645905572975,-0.12382514840974324,0.670169713403238,0.5971150009413815
2011-01-01,0.6836527763039466,-0.9092862987821344,-0.15518321479691877,0.07388145971496907,0.05596253677169594,-0.25467347437135446,-0.010044861335066324,-0.5818944198893521
2011-04-01,0.3762932594025685,0.27062310627548136,0.06952029616662714,-0.1990828652882181,0.5707439069477124,0.5198352547048753,-0.4722663621607073,-0.30596459764116846
2011-07-01,0.705981607051964,-0.6586578059400479,-0.2576192837734541,-0.19227575926827267,-0.008239848310681364,-0.252829391342661,0.15662597750749285,-0.22452938986576543
2011-10-01,-1.881724888489567,0.12219386414123168,0.14180125551351133,0.075638446665449,0.13656117041963767,0.5073737769111895,-0.1700003560404082,0.31189996751720006
2012-01-01,1.9170454682687912,-0.1798257430005359,-0.3308463319248941,-0.22506604239170447,0.27254143463670677,-0.2332454507565461,-0.6026881266821286,0.04215601131539426
2012-04-01,-0.9758354689644335,0.5118058382543472,0.36548358547109305,0.4829322013285212,-0.2380392983757846,-0.7308486556212364,0.4857139722710239,0.6425350247865703
2012-07-01,-0.3304469996505437,0.6034635176246256,-0.3364296947996739,-0.8722640945944614,0.018281981122675595,0.7171356531010056,0.1788159452785712,-0.0936862783029565
2012-10-01,-0.5853596234734224,0.25904488248973356,0.04923839165086652,0.4848179432602455,-0.10566037284352096,-0.03722574169783033,-0.08943992581253313,-0.35871882680845213
2013-01-01,0.7446446541081975,-0.939004135450433,0.03534004707839722,0.14386087863888974,-0.169267781936556,0.5295104575942378,-0.09537710717592329,-0.40594581081631276
2013-04-01,0.23236057333553206,-0.727011662769913,0.10913878484058703,-0.6221372946160991,-0.03671031315386088,0.1694434055954981,0.1886753734892872,-0.44912626513090026
2013-07-01,0.43996242929342055,0.8858442070350774,0.20895914587254194,-0.5110705267800879,-0.004587182667182346,-0.8246692150982304,0.3644581069353863,1.0183330555735939
