sector,rating,next_rating,barrier
info-com,AAA,BB,-inf
info-com,A,BB,-inf
info-com,BBB,BB,-inf
info-com,BB,BB,inf
info-com,B,BB,
info-com,C,BB,
info-com,AAA,B,-inf
info-com,A,B,-inf
info-com,BBB,B,-inf
info-com,BB,B,-inf
info-com,B,B,
info-com,C,B,
info-com,AAA,C,-inf
info-com,A,C,-inf
info-com,BBB,C,-inf
info-com,BB,C,-inf
info-com,B,C,
info-com,C,C,
info-com,AAA,D,-inf
info-com,A,D,-inf
info-com,BBB,D,-inf
info-com,BB,D,-inf
info-com,B,D,
info-com,C,D,
public,AAA,AAA,inf
public,A,AAA,8.209536151601387
public,BBB,AAA,inf
public,BB,AAA,inf
public,B,AAA,
public,C,AAA,
public,AAA,A,-1.8882153185572068
public,A,A,2.256744827428802
public,BBB,A,inf
public,BB,A,inf
public,B,A,
public,C,A,
public,AAA,BBB,-inf
public,A,BBB,-1.8803524454038238
public,BBB,BBB,1.8851770324320436
public,BB,BBB,inf
public,B,BBB,
public,C,BBB,
public,AAA,BB,-inf
public,A,BB,-inf
public,BBB,BB,-inf
public,BB,BB,inf
public,B,BB,
public,C,BB,
public,AAA,B,-inf
public,A,B,-inf
public,BBB,B,-inf
public,BB,B,-inf
public,B,B,
public,C,B,
public,AAA,C,-inf
public,A,C,-inf
public,BBB,C,-inf
public,BB,C,-inf
public,B,C,
public,C,C,
public,AAA,D,-inf
public,A,D,-inf
public,BBB,D,-inf
public,BB,D,-inf
public,B,D,
public,C,D,
services,AAA,AAA,inf
services,A,AAA,inf
services,BBB,AAA,inf
services,BB,AAA,inf
services,B,AAA,inf
services,C,AAA,inf
services,AAA,A,-1.7267613841402003
services,A,A,2.0586717764069364
services,BBB,A,inf
services,BB,A,inf
services,B,A,inf
services,C,A,inf
services,AAA,BBB,-inf
services,A,BBB,-2.1491747083972212
services,BBB,BBB,1.6239939283895732
services,BB,BBB,inf
services,B,BBB,inf
services,C,BBB,inf
services,AAA,BB,-inf
services,A,BB,-3.0073863754503756
services,BBB,BB,-1.9556614355881679
services,BB,BB,0.9388143168769032
services,B,BB,inf
services,C,BB,inf
services,AAA,B,-inf
services,A,B,-inf
services,BBB,B,-2.7097198136968514
services,BB,B,-0.164210777079331
services,B,B,0.9446695913944757
services,C,B,-inf
services,AAA,C,-inf
services,A,C,-inf
services,BBB,C,-inf
services,BB,C,-0.9388143168769032
services,B,C,-inf
services,C,C,-inf
services,AAA,D,-inf
services,A,D,-inf
services,BBB,D,-inf
services,BB,D,-1.7116753065097285
services,B,D,-inf
services,C,D,-inf
services_pro,AAA,AAA,
services_pro,A,AAA,inf
services_pro,BBB,AAA,inf
services_pro,BB,AAA,
services_pro,B,AAA,
services_pro,C,AAA,
services_pro,AAA,A,
services_pro,A,A,inf
services_pro,BBB,A,inf
services_pro,BB,A,
services_pro,B,A,
services_pro,C,A,
services_pro,AAA,BBB,
services_pro,A,BBB,-inf
services_pro,BBB,BBB,0.43072729929545744
services_pro,BB,BBB,
services_pro,B,BBB,
services_pro,C,BBB,
services_pro,AAA,BB,
services_pro,A,BB,-inf
services_pro,BBB,BB,-inf
services_pro,BB,BB,
services_pro,B,BB,
services_pro,C,BB,
services_pro,AAA,B,
services_pro,A,B,-inf
services_pro,BBB,B,-inf
services_pro,BB,B,
services_pro,B,B,
services_pro,C,B,
services_pro,AAA,C,
services_pro,A,C,-inf
services_pro,BBB,C,-inf
services_pro,BB,C,
services_pro,B,C,
services_pro,C,C,
services_pro,AAA,D,
services_pro,A,D,-inf
services_pro,BBB,D,-inf
services_pro,BB,D,
services_pro,B,D,
services_pro,C,D,
