model_id,k,x_cols,aic,r2_adj,coef_const,coef_US_GDP_Growth_Rate_L1,coef_US_GDP_Growth_Rate_L2,coef_US_GDP_Growth_Rate_L3,coef_US_GDP_Growth_Rate_L4,coef_US_Long_term_interest_rate_L1,coef_US_Long_term_interest_rate_L2,coef_US_Long_term_interest_rate_L3,coef_US_Long_term_interest_rate_L4,coef_US_Oil_price_L1,coef_US_Oil_price_L2,coef_US_Oil_price_L3,coef_US_Oil_price_L4,coef_US_Unemployment_rate_hp_gap_L1,coef_US_Unemployment_rate_hp_gap_L2,coef_US_Unemployment_rate_hp_gap_L3,coef_US_Unemployment_rate_hp_gap_L4,coef_US_Unemployment_rate_hp_gap_diff_L1,coef_US_Unemployment_rate_hp_gap_diff_L2,coef_US_Unemployment_rate_hp_gap_diff_L3,coef_US_Unemployment_rate_hp_gap_diff_L4,coef_US_Long_term_interest_rate_gap_L1,coef_US_Long_term_interest_rate_gap_L2,coef_US_Long_term_interest_rate_gap_L3,coef_US_Long_term_interest_rate_gap_L4,coef_US_Long_term_interest_rate_gap_diff_L1,coef_US_Long_term_interest_rate_gap_diff_L2,coef_US_Long_term_interest_rate_gap_diff_L3,coef_US_Long_term_interest_rate_gap_diff_L4,coef_US_House_prices_residential_hp_gap_L1,coef_US_House_prices_residential_hp_gap_L2,coef_US_House_prices_residential_hp_gap_L3,coef_US_House_prices_residential_hp_gap_L4,coef_US_House_prices_residential_hp_gap_diff_L1,coef_US_House_prices_residential_hp_gap_diff_L2,coef_US_House_prices_residential_hp_gap_diff_L3,coef_US_House_prices_residential_hp_gap_diff_L4,coef_US_Effective_exchange_rate_hp_gap_L1,coef_US_Effective_exchange_rate_hp_gap_L2,coef_US_Effective_exchange_rate_hp_gap_L3,coef_US_Effective_exchange_rate_hp_gap_L4,coef_US_Effective_exchange_rate_hp_gap_diff_L1,coef_US_Effective_exchange_rate_hp_gap_diff_L2,coef_US_Effective_exchange_rate_hp_gap_diff_L3,coef_US_Effective_exchange_rate_hp_gap_diff_L4,coef_US_Central_bank_Intervention_rate_policy_interest_rate_diff_L1,coef_US_Central_bank_Intervention_rate_policy_interest_rate_diff_L2,coef_US_Central_bank_Intervention_rate_policy_interest_rate_diff_L3,coef_US_Central_bank_Intervention_rate_policy_interest_rate_diff_L4,coef_US_Equity_prices_log_hp_gap_L1,coef_US_Equity_prices_log_hp_gap_L2,coef_US_Equity_prices_log_hp_gap_L3,coef_US_Equity_prices_log_hp_gap_L4,coef_US_Oil_price_log_L1,coef_US_Oil_price_log_L2,coef_US_Oil_price_log_L3,coef_US_Oil_price_log_L4,coef_US_Oil_price_log_hp_gap_L1,coef_US_Oil_price_log_hp_gap_L2,coef_US_Oil_price_log_hp_gap_L3,coef_US_Oil_price_log_hp_gap_L4,coef_US_GDP_log_L1,coef_US_GDP_log_L2,coef_US_GDP_log_L3,coef_US_GDP_log_L4,coef_US_GDP_log_hp_gap_L1,coef_US_GDP_log_hp_gap_L2,coef_US_GDP_log_hp_gap_L3,coef_US_GDP_log_hp_gap_L4,coef_US_GDP_log_hp_gap_diff_L1,coef_US_GDP_log_hp_gap_diff_L2,coef_US_GDP_log_hp_gap_diff_L3,coef_US_GDP_log_hp_gap_diff_L4,weight
43398,3,"['US_Long_term_interest_rate_gap_L3', 'US_Effective_exchange_rate_hp_gap_diff_L2', 'US_GDP_log_L2']",73.04768425118323,0.5223139476781617,-0.11598780335273633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7770518398099802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09951925191549524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17891524699968767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001310615989515072
29879,3,"['US_Unemployment_rate_hp_gap_L2', 'US_Unemployment_rate_hp_gap_diff_L1', 'US_Long_term_interest_rate_gap_diff_L1']",85.68166398869387,0.5210406095840001,-0.07728705923515405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4297839888275308,0.0,0.0,0.24874332636344942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9538705154260672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001310615989515072
28058,3,"['US_Unemployment_rate_hp_gap_L1', 'US_Unemployment_rate_hp_gap_L2', 'US_Long_term_interest_rate_gap_diff_L1']",85.68166398869387,0.5210406095840001,-0.07728705923515389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24874332636344962,0.18104066246408115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9538705154260674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001310615989515072
55435,3,"['US_Effective_exchange_rate_hp_gap_L1', 'US_Central_bank_Intervention_rate_policy_interest_rate_diff_L4', 'US_GDP_log_L1']",74.76629744102672,0.5192156112367019,-0.11211718448768905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07116474356231892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0812674895480936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03945445116315334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001310615989515072
55439,3,"['US_Effective_exchange_rate_hp_gap_L1', 'US_Central_bank_Intervention_rate_policy_interest_rate_diff_L4', 'US_GDP_log_hp_gap_L1']",74.89536833805525,0.5177702972912117,-0.09494211814375939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06793086601920835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0507512245976485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007841485028522069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001310615989515072
3353,3,"['US_GDP_Growth_Rate_L1', 'US_Unemployment_rate_hp_gap_L1', 'US_Long_term_interest_rate_gap_L4']",80.37542499476668,0.5163726185403799,-0.22660163855046922,0.09999443106330982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26158740703657535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6009462287762566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001310615989515072
3430,3,"['US_GDP_Growth_Rate_L1', 'US_Unemployment_rate_hp_gap_L2', 'US_Effective_exchange_rate_hp_gap_diff_L3']",83.08277522201784,0.515373707343145,0.03987430523331228,-0.23392386834666276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48530180525824085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08283418837150285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001310615989515072
28583,3,"['US_Unemployment_rate_hp_gap_L1', 'US_Long_term_interest_rate_gap_L4', 'US_Long_term_interest_rate_gap_diff_L1']",80.61826075339702,0.5139197102513747,-0.1500129467063179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26798075671845334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45545699723172195,0.5791897509124274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001310615989515072
30351,3,"['US_Unemployment_rate_hp_gap_L2', 'US_Long_term_interest_rate_gap_diff_L2', 'US_Central_bank_Intervention_rate_policy_interest_rate_diff_L3']",83.54304957725056,0.51079999329934,-0.04689004053591064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237445756086181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7073886757617963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.080599015916554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001310615989515072
28600,3,"['US_Unemployment_rate_hp_gap_L1', 'US_Long_term_interest_rate_gap_L4', 'US_Effective_exchange_rate_hp_gap_diff_L2']",81.33546866172892,0.5066022485035313,-0.15937128008172025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21827242114449644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6120880276768583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.075848540291827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001310615989515072
